#chr	start	end	name	WT_DNAse_ZT02	WT_DNAse_ZT06	WT_DNAse_ZT10	WT_DNAse_ZT14	WT_DNAse_ZT18	WT_DNAse_ZT22	WT_DNAse_ZT26	WT_DNAse_ZTALL	WT_H3K27ac_ZT02	WT_H3K27ac_ZT06	WT_H3K27ac_ZT10	WT_H3K27ac_ZT14	WT_H3K27ac_ZT18	WT_H3K27ac_ZT22	WT_H3K27ac_ZT26	WT_H3K4me3_ZT02	WT_H3K4me3_ZT06	WT_H3K4me3_ZT10	WT_H3K4me3_ZT14	WT_H3K4me3_ZT18	WT_H3K4me3_ZT22	WT_H3K4me3_ZT26	WT_Pol2_ZT02	WT_Pol2_ZT06	WT_Pol2_ZT10	WT_Pol2_ZT14	WT_Pol2_ZT18	WT_Pol2_ZT22	WT_Pol2_ZT26
chr7	51966118	51966217		0.41	0.4	0.33	0.13	1.54	0.96	0.76	0.53	24.24	22.07	27.12	72.86	71.1	104.11	28.31	26.35	57.75	28.94	66.22	45.92	44.45	77.72	131.39	81.17	99.39	85.89	44.41	73.23	61.14
chr7	51966218	51966317		0.64	0.2	0.14	0.51	1.26	1.02	0.7	0.46	57.58	14.4	29.66	50.09	52.25	61.98	31.77	36.55	0	86.9	84.97	50.43	49.63	44.66	43.44	56.25	61.25	47.61	75.37	60.8	42.94
chr7	51966318	51966417		0.59	0.44	0.76	0.37	0.28	0.12	0.62	0.48	81.35	49.72	26.36	25.7	39.01	55.46	42.43	0	0	0	16.56	0	0	14.5	54.82	85.41	8.78	46.33	43.13	71.21	82.91
chr7	51966418	51966517		0.65	0.24	0.29	0	0.49	0	0.49	0.27	50.09	28.87	25.58	33.86	21.44	14.72	35.27	0	0	48.0	32.2	0	0	43.5	70.3	48.18	63.4	79.95	30.54	62.87	70.94
chr7	51966518	51966617		0.36	0.28	0.24	0	0.69	0.06	0.5	0.31	40.05	36.92	23.24	33.56	17.68	21.68	49.18	0	0	0	3.68	18.86	0	0	91.19	34.28	37.69	62.13	27.48	90.28	58.71
chr7	51966618	51966717		0.18	0.08	0.17	0.14	0.49	0.02	0.06	0.16	29.27	22.43	20.29	38.11	35.77	24.44	73.61	0	0	42.24	0	13.12	0	0	18.42	30.52	3.5	23.76	22.87	26.48	24.44
chr7	51966718	51966817		0.35	0.04	0.2	0.32	0.14	0.24	0.28	0.17	31.83	1.83	9.3	11.47	37.52	20.31	33.52	0	0	51.84	14.26	0	9.52	0	14.3	20.86	20.69	7.26	34.98	37.38	22.17
chr7	51966818	51966917		0.66	0.16	0.1	0.25	0.21	0	0.12	0.15	0	11.7	20.88	20.89	20.24	25.24	21.43	0	0	0.64	51.65	0	31.92	0	32.68	39.88	22.83	51.62	55.57	31.48	8.4
chr7	51966918	51967017		0.59	0.36	0.05	0.31	0.07	0.36	0.24	0.2	19.19	7.06	34.65	25.26	32.6	27.4	29.65	0	0	0	5.98	32.39	0	0	41.26	38.18	4.91	50.43	70.18	4.68	23.34
chr7	51967018	51967117		0.41	0.2	0.05	0.38	0.42	0.12	0.19	0.21	17.99	10.54	27.62	27.6	29.61	11.73	26.77	0	0	0	0	0	0	24.36	64.26	27.72	2.59	77.67	57.95	29.65	23.28
chr7	51967118	51967217		0.36	0.32	0.1	0.37	0.35	0.42	0.3	0.26	11.83	53.76	20.24	13.65	29.07	40.97	29.03	0	0	0	0	22.14	0	18.56	69.64	26.5	36.68	43.82	18.02	36.29	54.17
chr7	51967218	51967317		0.54	0.08	0.1	0.12	0	0.06	0.06	0.07	21.79	9.12	7.13	10.22	16.64	20.05	19.6	46.75	57.75	0	8.28	9.84	0	43.5	62.54	40.49	57.67	22.56	35.76	30.7	42.19
chr7	51967318	51967417		0.24	0.16	0.2	0.31	0.28	0.12	0.18	0.2	78.75	17.8	33.1	13.02	38.59	3.22	49.26	16.15	0	42.88	27.6	14.35	0	0	70.45	36.6	71.23	47.9	40.96	20.97	23.95
chr7	51967418	51967517		0.36	0.16	0.15	0.76	0.07	0	0.13	0.22	16.34	36.16	16.96	34.01	30.93	29.79	13.37	38.25	0	42.24	0	93.89	0	0	29.28	19.38	56.1	33.74	37.4	29.55	52.87
chr7	51967518	51967617		0.6	0.08	0.1	0.39	0.42	0.12	0.3	0.21	11.4	66.68	2.65	29.12	4.32	42.62	23.19	24.65	0	9.6	0	20.09	0	0	9.98	22.84	19.52	11.94	15.95	4.65	65.82
chr7	51967618	51967717		0.12	0.12	0.1	0.18	0.35	0.18	0.24	0.17	4.25	10.92	17.03	37.12	10.24	21.28	26.74	0	0	0	0	53.3	0	41.18	22.56	20.37	7.41	14.76	16.28	5.17	18.83
chr7	51967718	51967817		0.24	0.64	0	0.51	0.14	0.66	0.12	0.28	20.75	14.84	25.03	23.6	27.52	23.0	16.41	0	0	0	0	10.66	0	1.74	39.0	78.02	23.32	24.54	22.63	28.86	40.78
chr7	51967818	51967917		0.36	0.16	0.2	0.19	0	0.42	0.18	0.14	39.18	60.97	21.56	30.55	32.97	37.84	17.74	0	8.47	0	0	0	0	0	35.05	43.54	40.61	35.43	30.45	16.32	49.39
chr7	51967918	51968017		0.35	0.24	0.05	0.44	0.28	0.12	0.18	0.21	31.94	50.94	7.62	20.77	60.75	32.56	30.56	28.05	48.51	0	36.34	3.69	0	0	75.92	25.18	71.07	64.41	39.68	30.38	30.86
chr7	51968018	51968117		0.71	0.28	0	0.37	0.63	0	0.31	0.27	14.36	29.4	34.89	47.74	34.29	36.2	55.66	34.85	0	0	36.34	28.29	0	0	52.33	34.19	49.75	61.05	23.54	17.27	53.02
chr7	51968118	51968217		0.47	0.24	0.14	0.12	0.14	0.3	0.18	0.16	49.17	26.1	16.43	4.48	20.72	14.06	15.97	0	40.04	35.2	15.18	10.66	1.68	0	47.14	69.76	44.4	47.84	42.82	22.14	52.84
chr7	51968218	51968317		0.24	0.12	0.14	0.19	0.28	0.24	0.32	0.18	44.39	54.13	16.26	41.94	37.18	25.57	47.86	0	77.79	16.64	57.49	143.09	39.76	0	66.08	94.05	51.75	29.29	87.93	46.62	56.31
chr7	51968318	51968417		0.18	0.44	0.05	0.38	0	0.42	0.12	0.2	51.37	49.27	30.72	40.05	38.89	26.81	51.72	0	53.9	42.88	29.9	121.36	0	0	93.54	50.32	21.18	47.62	63.96	53.64	39.43
chr7	51968418	51968517		1.0	0.56	0.24	0.06	0.21	0.78	0.25	0.27	8.34	8.95	49.02	17.36	53.82	41.98	55.47	0	0	36.66	5.98	111.52	0	0	47.64	70.51	71.3	45.0	49.77	43.55	39.8
chr7	51968518	51968617		0.12	0.88	0.48	0.38	0.28	0.48	0.43	0.51	32.24	16.28	42.54	19.12	22.18	32.13	44.09	0	0	58.59	0	93.89	11.76	0	40.84	94.86	54.85	39.88	68.86	34.81	26.85
chr7	51968618	51968717		0.96	0.28	0.15	0.81	0.07	0.24	0.06	0.25	29.76	111.0	23.23	16.29	21.68	33.47	56.59	0	0	0	0	26.65	53.76	0	47.27	71.93	41.34	22.62	58.37	66.68	26.8
chr7	51968718	51968817		0.36	0.48	0.29	0.12	0.14	0	0.06	0.23	22.54	11.2	33.71	11.2	35.16	16.45	25.3	0	0	0	0	5.33	17.36	0	37.93	19.69	12.53	18.56	37.39	39.88	19.71
chr7	51968818	51968917		0.3	0.04	0.29	0.25	0.21	0	0.18	0.17	31.68	9.67	24.45	17.01	30.23	10.22	10.98	0	0	0	0	0	10.08	8.7	16.18	27.74	14.98	34.28	41.8	10.48	19.25
chr7	51968918	51969017		0.58	0.32	0.48	0.12	0.35	0.24	0.12	0.28	19.12	27.56	31.58	15.1	32.65	18.07	25.11	0	0	0	36.34	13.94	33.6	34.22	55.78	65.58	84.25	62.07	9.4	27.61	22.95
chr7	51969018	51969117		0.18	0.12	0.1	0.12	0.35	0.18	0.19	0.15	18.43	15.05	19.83	18.14	29.04	14.0	45.12	0	0	0	0	39.77	39.2	0	23.28	53.84	26.83	50.74	31.92	29.22	30.09
chr7	51969118	51969217		0.12	0.48	0.19	0.24	0.14	0	0.13	0.24	13.75	28.26	12.19	6.79	13.36	16.8	13.87	0	0	16.65	0	10.25	0	0	7.74	19.86	5.79	11.46	33.58	20.04	7.37
chr7	51969218	51969317		0.3	0.32	0.1	0.06	0	0.18	0.12	0.13	20.79	8.46	14.25	17.92	23.68	34.87	14.87	0	0	78.57	12.42	13.53	69.27	0	15.6	38.32	32.58	25.68	38.07	7.96	22.39
chr7	51969318	51969417		0.24	0.28	0.57	0.31	0.35	0.24	0.38	0.35	8.46	7.69	23.9	22.02	47.57	61.13	24.93	0	0	21.76	23.46	41.82	14.56	70.76	20.54	46.57	66.11	13.98	78.14	26.37	83.14
chr7	51969418	51969517		0.3	0.2	0.1	0.31	0.56	0.78	0.06	0.21	22.32	4.36	33.79	20.42	36.91	43.65	53.3	0	0	25.6	15.18	24.19	0	15.08	49.45	141.07	64.04	86.79	115.08	57.0	109.51
chr7	51969518	51969617		0.48	0.16	0.24	0	0.56	0	0.06	0.18	39.68	51.63	34.98	18.58	58.97	22.57	43.08	6.8	43.12	48.0	45.08	16.4	0	0	37.96	66.53	22.82	81.51	101.23	56.64	48.77
chr7	51969618	51969717		0.48	0.32	0.1	0.43	0.14	0	0.25	0.24	138.06	27.31	22.92	33.4	42.32	48.09	10.69	56.1	13.86	29.44	11.5	43.05	0	0	45.86	30.66	19.8	27.71	57.37	26.94	45.11
chr7	51969718	51969817		1.0	0.48	0.1	0.06	0.07	0	0.12	0.18	89.52	14.31	41.91	13.97	46.98	34.42	18.75	0	45.43	17.92	41.96	21.32	0	15.66	28.56	31.23	14.9	9.9	21.64	15.62	36.93
chr7	51969818	51969917		0.59	0.08	0.2	0.12	0.07	0.48	0.13	0.11	13.86	18.49	12.97	15.96	28.08	24.48	10.72	0	11.55	48.0	30.36	26.65	0	27.26	3.15	50.84	34.56	27.51	26.04	1.51	14.52
chr7	51969918	51970017		0.3	0.16	0.05	0	0.14	0	0.06	0.08	4.56	18.78	19.89	15.19	15.04	24.87	13.86	0	0	0	0	5.33	0	0	19.64	20.59	38.46	28.62	8.64	6.07	13.93
chr7	51970018	51970117		0.06	0.16	0.15	0	0.21	0.18	0.25	0.14	0	30.85	11.14	11.76	20.16	23.26	39.2	0	26.95	0	0	32.39	13.44	0	18.81	106.16	16.1	36.76	14.03	35.42	32.33
chr7	51970118	51970217		0.3	0.24	0.24	0.19	0.42	0.06	0.25	0.25	0	39.12	26.74	21.37	25.76	10.85	50.29	0	30.03	0	34.5	32.39	28.0	0	26.74	107.74	69.28	57.48	45.53	58.67	38.23
chr7	51970218	51970317		0.3	0.08	0.24	0.25	0.35	0	0.19	0.19	0	30.48	42.16	24.9	16.72	19.04	16.95	0	0	0	5.52	0	0	0	39.05	43.0	34.03	61.04	55.7	70.45	26.17
chr7	51970318	51970417		0.06	0.28	0.19	0	0.07	0	0.06	0.13	23.06	20.13	22.07	29.6	20.24	34.83	33.96	59.5	0	0	31.74	0	0	52.78	33.9	33.85	35.17	35.9	53.49	19.95	34.11
chr7	51970418	51970517		0.06	0.24	0.44	0.32	0.77	0	0.25	0.35	83.26	9.64	50.35	38.65	30.64	62.36	11.66	22.1	0	0	0	33.62	36.96	80.04	77.97	69.8	102.06	55.69	50.8	83.4	43.16
chr7	51970518	51970617		0.48	0.44	0	0.26	0.56	0.24	0.5	0.32	9.48	62.78	53.37	48.8	78.68	95.2	34.48	44.2	0	0	0	30.34	4.48	82.36	41.68	128.84	111.68	72.63	53.83	141.75	88.78
chr7	51970618	51970717		0.84	0.16	0.69	0.25	0.84	0.84	0.32	0.4	68.82	40.27	28.29	38.37	92.75	61.19	31.63	22.95	0	0	63.21	32.39	0	0	61.44	130.13	79.22	114.43	98.92	78.91	86.11
chr7	51970718	51970817		0.95	0.24	0.44	0.25	0.77	0.96	0.81	0.46	29.95	3.39	46.37	33.13	41.98	41.54	19.51	39.95	0	43.52	9.27	4.92	0	22.62	51.56	89.24	51.63	74.36	47.69	51.78	68.14
chr7	51970818	51970917		0.6	0.16	0.2	0.19	0.56	0.9	0.5	0.27	14.05	19.08	32.95	47.47	41.13	62.35	32.29	0	0	3.84	8.74	27.06	0	20.3	57.38	118.05	33.87	49.1	74.97	34.91	11.57
chr7	51970918	51971017		1.12	0.2	0.05	0.25	0.7	0.78	0.37	0.26	59.6	68.17	42.71	57.01	16.64	65.53	56.42	0	0	0	61.99	3.69	12.32	0	49.42	75.61	64.37	44.1	24.08	56.87	53.93
chr7	51971018	51971117		0.54	0.16	0.44	0.12	0.35	0.36	0.37	0.27	36.94	31.23	41.58	32.98	50.79	31.2	37.68	0	0	17.28	1.38	46.33	29.12	0	23.64	28.97	87.7	35.86	32.55	42.55	36.13
chr7	51971118	51971217		0.65	0.48	0.39	0.18	0.14	0	0.32	0.31	34.41	32.97	26.79	27.97	41.17	29.04	61.62	63.75	0	52.55	13.8	13.94	0	0	49.28	16.8	55.94	57.21	40.85	53.37	22.53
chr7	51971218	51971317		0.35	0	0	0.25	0.14	0	0.12	0.08	73.23	56.66	24.09	18.06	31.31	27.94	30.63	0	0	121.2	94.63	11.48	0	0	4.45	21.26	43.94	13.74	30.5	60.53	29.53
chr7	51971318	51971417		0.53	0.32	0.39	0.25	0	0	0.24	0.24	42.15	24.86	20.15	22.39	36.05	44.3	28.98	0	0	46.92	25.76	45.92	30.24	0	7.1	11.19	51.4	27.42	26.39	21.29	47.8
chr7	51971418	51971517		0.12	0.16	0.19	0.19	0.21	0	0.18	0.17	89.82	11.09	33.38	22.7	22.8	17.72	22.59	0	0	0	10.58	19.27	11.2	32.48	24.77	5.03	25.84	30.18	16.99	42.62	26.27
chr7	51971518	51971617		0.06	0.6	0.1	0.06	0.21	0.6	0.25	0.26	26.69	21.35	14.34	26.58	39.71	58.22	19.07	43.13	0	0	0	19.27	0	10.44	34.28	77.39	70.88	56.86	62.08	50.44	55.21
